	SC.CDP.BM	SC.CMP.BM	SC.GMP.BM	SC.LT34F.BM	SC.LTSL.BM	SC.LTSL.FL	SC.MDP.BM	SC.MEP.BM	SC.MPP34F.BM	SC.ST34F.BM	SC.STSL.BM	SC.STSL.FL
Nlrp1b	5.099721609	5.309507277	5.211531429	5.431295341	5.347813272	4.953394073	5.215369266	4.870290733	5.803162444	5.099575047	5.93821364	5.338383408
Nlrp1c-ps	5.494920103	5.959129098	5.477549975	5.310217709	5.338548022	5.457593198	5.78419161	5.400339819	5.619404206	5.31066549	5.625830584	5.732524281
Nlrp3	6.695887593	5.454455586	5.407154441	4.824708461	5.536651826	5.148075877	5.871852682	5.058193091	4.707069183	4.812482823	5.133967597	4.964361663
Nlrp4f	3.959634162	5.409519924	4.480170318	4.08741475	4.043003216	4.185160879	3.989868649	4.07224303	4.23239982	4.1566838	4.056756919	3.867975514
Nme1	8.325953454	9.17912186	9.693559265	8.475194481	7.254796523	7.511029412	9.054250576	9.914473635	8.49018562	8.663755727	7.30154619	8.072415353
Nme4	7.349563142	8.159867301	8.83369561	8.116227501	7.559105289	8.108999701	8.216993964	8.355477079	8.022538707	7.912465445	8.280532002	8.376503762
Nod1	6.545789256	6.727708118	7.22680906	7.13667606	6.695410198	6.298722458	6.561110215	5.825677523	6.931668285	6.581918361	7.147944996	6.116535268
Nol8	7.9833676	8.777003253	6.663800016	8.76505631	8.589066585	8.758830596	8.483885089	9.306027616	8.596069899	8.796878205	8.484397037	8.753905167
Nop10	9.390930309	9.974391501	10.44789815	9.487803129	7.725394663	8.258962475	10.0169273	10.65191723	9.477111539	9.632199679	8.231886284	8.65335995
Nop16	9.141009596	9.116314327	10.2648044	9.012633011	8.646319651	8.880913938	9.61762241	9.910737458	9.104153559	9.16428045	8.653311339	8.969627982
Nop2	9.018893211	9.529307461	9.963129352	9.196015832	8.671658647	8.679437874	9.539741072	10.13008755	8.972618134	9.123028147	8.832342256	8.970356435
Nop56	10.27504792	10.71882909	10.6200768	10.91127495	9.884960096	10.18812856	10.88626909	11.63081647	10.80208874	10.77293408	9.710714957	10.32827796
Nop58	9.545602979	10.79961125	8.710078016	10.47367247	9.737499574	10.20581613	10.51694251	11.16887115	10.47399644	10.67173791	9.685284112	10.40537865
Nos1ap	8.246043504	7.693856993	7.341559741	7.782829202	8.500626538	7.919592151	7.923478631	6.766358624	8.04609102	7.789357903	8.310285279	7.31176693
Nostrin	7.109450412	4.688331448	4.828230439	4.026829562	4.332748505	4.448566221	6.150094544	4.343272785	4.220477003	4.069448693	4.365004243	5.202701766
Notch1	9.346448504	7.52035742	8.393918527	8.248071776	8.343949472	8.850441801	9.138282382	6.581232976	9.615663382	8.00508442	9.634319603	9.930692992
Notch3	6.459079099	6.914960899	6.604414852	6.509828832	6.702235033	6.705823121	6.623386976	6.344596845	6.598584803	6.470660501	6.596715542	7.08034108
Notch4	6.02844686	6.401267802	6.170972579	5.83891312	6.356905579	6.460240722	6.122250974	5.853651395	5.946756589	5.899849923	6.182230127	6.49874631
Npas2	4.620930427	5.315787197	4.790295926	5.579215354	5.568340236	5.228042632	4.54944739	4.685956963	5.365179847	5.06384373	6.064507819	4.716744024
Nphs2	5.256410628	5.590380455	5.251236852	5.013246361	5.507115938	5.470157216	5.13167179	5.281598111	5.208858619	5.220349304	5.116642001	5.140862483
Npl	7.080689993	8.200534269	8.685439126	8.122716198	7.516511881	7.835568324	8.111108538	6.42756511	8.007577601	8.320786787	7.943822699	8.526181909
Npr2	4.969577237	5.614225429	5.60462686	7.330235096	7.572730791	6.728333696	5.198896156	5.038126661	6.276114167	6.562536277	8.231941468	6.854733767
Npy1r	4.195749166	4.862255481	4.427270935	4.007895146	4.252554427	4.263169652	4.115430052	4.341576641	4.31386982	4.125758539	4.14737183	4.125791596
Nqo1	4.437605056	6.140984127	5.171112065	5.980869216	5.149354219	5.213281173	4.542464429	8.103470101	5.367005802	5.848304949	5.735877753	5.14346689
Nr1d1	5.920228184	7.251363582	6.946828705	6.536927891	7.169302036	7.117955067	6.415853856	6.69920041	6.588211666	6.644649454	7.03051817	6.602868082
Nr1d2	6.716509459	7.718705133	7.016599202	8.495110308	7.852924785	7.44816257	7.19072053	7.370777627	8.029323397	8.098323488	8.296099595	7.645601876
Nr1h3	5.657456132	6.293891866	6.198107104	5.877058725	5.690770928	5.861867715	5.817499617	5.615247074	5.889297089	5.58695835	5.935770884	5.618000732
Nr3c2	4.525958184	5.543463404	4.924613006	5.844679405	5.799110625	4.987336026	4.57776718	4.687139094	4.805478198	4.821914259	5.712627877	4.634726845
Nr4a1	6.681438021	6.831340183	6.39902921	7.04724245	7.372900746	7.059529777	6.327929829	6.349559013	6.502338559	6.443236151	7.110020041	7.224975044
Nr4a2	6.126236403	6.756105264	5.956094609	6.048994657	6.451534789	5.961503716	6.209726932	6.384821732	6.069945932	6.138537017	6.129368202	5.717314505
Nr4a3	5.396510025	5.621136113	5.536249806	4.961975162	5.287810864	5.731127111	5.287794861	5.221082452	5.144464511	4.971430893	5.24662597	4.951473565
Nrarp	5.580334454	6.413339361	6.369037171	6.388680342	6.586220803	6.662122404	5.879246684	6.616433424	5.990298012	6.438706203	6.134337326	6.892876093
Nrgn	6.741701125	7.966821786	7.596579393	8.119998143	8.984258277	8.238015191	7.071916731	6.883492522	7.832130501	8.004329472	7.974456465	7.761420919
Nrip1	8.24333237	9.005861143	7.236764613	9.040968573	9.072659464	9.341205529	7.998330355	8.487766893	8.673654645	9.355753783	9.302041847	9.062548632
Nrn1	4.503702793	4.777167189	4.83037365	4.329135559	4.583573238	4.79163177	4.509828832	4.560879999	4.591879844	4.443918229	4.529331638	4.571722311
Nrp1	8.980796116	6.154475871	5.643418506	5.202004942	5.425304875	5.345021364	8.321640279	4.92987856	5.533103868	5.227687174	5.391121551	6.961267935
Nrp2	5.853943266	6.134545427	6.223713428	5.56368694	5.866605531	5.770319873	6.119370012	5.382608465	5.556648593	5.506854204	5.605607916	6.27208946
Nrxn1	4.508656829	6.723628183	5.076449355	8.06415497	7.369871537	6.055228198	4.911340052	4.967715049	7.839314663	8.197157952	8.22111694	6.158466295
